timestamp,restaurantId,cornerId,queue_len,est_wait_time_min
2026-01-15T11:00:00+09:00,hanyang_plaza,western,9,3
2026-01-15T11:00:00+09:00,hanyang_plaza,korean,11,4
2026-01-15T11:00:00+09:00,hanyang_plaza,instant,7,4
2026-01-15T11:00:00+09:00,hanyang_plaza,ramen,16,11
2026-01-15T11:00:00+09:00,materials,set_meal,10,4
2026-01-15T11:00:00+09:00,materials,single_dish,8,3
2026-01-15T11:00:00+09:00,life_science,dam_a,7,3
2026-01-15T11:00:00+09:00,life_science,pangeos,16,8
2026-01-15T11:01:00+09:00,hanyang_plaza,western,11,3
2026-01-15T11:01:00+09:00,hanyang_plaza,korean,2,1
2026-01-15T11:01:00+09:00,hanyang_plaza,instant,9,5
2026-01-15T11:01:00+09:00,hanyang_plaza,ramen,10,8
2026-01-15T11:01:00+09:00,materials,set_meal,7,3
2026-01-15T11:01:00+09:00,materials,single_dish,12,5
2026-01-15T11:01:00+09:00,life_science,dam_a,9,4
2026-01-15T11:01:00+09:00,life_science,pangeos,14,7
2026-01-15T11:02:00+09:00,hanyang_plaza,western,5,2
2026-01-15T11:02:00+09:00,hanyang_plaza,korean,10,3
2026-01-15T11:02:00+09:00,hanyang_plaza,instant,11,6
2026-01-15T11:02:00+09:00,hanyang_plaza,ramen,12,9
2026-01-15T11:02:00+09:00,materials,set_meal,9,3
2026-01-15T11:02:00+09:00,materials,single_dish,11,4
2026-01-15T11:02:00+09:00,life_science,dam_a,10,4
2026-01-15T11:02:00+09:00,life_science,pangeos,11,6
2026-01-15T11:03:00+09:00,hanyang_plaza,western,7,2
2026-01-15T11:03:00+09:00,hanyang_plaza,korean,21,6
2026-01-15T11:03:00+09:00,hanyang_plaza,instant,8,5
2026-01-15T11:03:00+09:00,hanyang_plaza,ramen,11,8
2026-01-15T11:03:00+09:00,materials,set_meal,9,3
2026-01-15T11:03:00+09:00,materials,single_dish,15,6
2026-01-15T11:03:00+09:00,life_science,dam_a,12,5
2026-01-15T11:03:00+09:00,life_science,pangeos,10,6
2026-01-15T11:04:00+09:00,hanyang_plaza,western,2,1
2026-01-15T11:04:00+09:00,hanyang_plaza,korean,15,5
2026-01-15T11:04:00+09:00,hanyang_plaza,instant,15,8
2026-01-15T11:04:00+09:00,hanyang_plaza,ramen,13,10
2026-01-15T11:04:00+09:00,materials,set_meal,13,5
2026-01-15T11:04:00+09:00,materials,single_dish,10,4
2026-01-15T11:04:00+09:00,life_science,dam_a,8,3
2026-01-15T11:04:00+09:00,life_science,pangeos,5,4
2026-01-15T11:05:00+09:00,hanyang_plaza,western,11,3
2026-01-15T11:05:00+09:00,hanyang_plaza,korean,17,5
2026-01-15T11:05:00+09:00,hanyang_plaza,instant,14,7
2026-01-15T11:05:00+09:00,hanyang_plaza,ramen,11,8
2026-01-15T11:05:00+09:00,materials,set_meal,12,4
2026-01-15T11:05:00+09:00,materials,single_dish,8,3
2026-01-15T11:05:00+09:00,life_science,dam_a,10,4
2026-01-15T11:05:00+09:00,life_science,pangeos,10,6
2026-01-15T11:06:00+09:00,hanyang_plaza,western,9,3
2026-01-15T11:06:00+09:00,hanyang_plaza,korean,9,3
2026-01-15T11:06:00+09:00,hanyang_plaza,instant,15,8
2026-01-15T11:06:00+09:00,hanyang_plaza,ramen,14,10
2026-01-15T11:06:00+09:00,materials,set_meal,12,4
2026-01-15T11:06:00+09:00,materials,single_dish,11,4
2026-01-15T11:06:00+09:00,life_science,dam_a,14,5
2026-01-15T11:06:00+09:00,life_science,pangeos,10,6
2026-01-15T11:07:00+09:00,hanyang_plaza,western,11,3
2026-01-15T11:07:00+09:00,hanyang_plaza,korean,12,4
2026-01-15T11:07:00+09:00,hanyang_plaza,instant,10,6
2026-01-15T11:07:00+09:00,hanyang_plaza,ramen,13,10
2026-01-15T11:07:00+09:00,materials,set_meal,9,3
2026-01-15T11:07:00+09:00,materials,single_dish,10,4
2026-01-15T11:07:00+09:00,life_science,dam_a,12,5
2026-01-15T11:07:00+09:00,life_science,pangeos,16,8
2026-01-15T11:08:00+09:00,hanyang_plaza,western,15,4
2026-01-15T11:08:00+09:00,hanyang_plaza,korean,14,4
2026-01-15T11:08:00+09:00,hanyang_plaza,instant,13,7
2026-01-15T11:08:00+09:00,hanyang_plaza,ramen,8,6
2026-01-15T11:08:00+09:00,materials,set_meal,7,3
2026-01-15T11:08:00+09:00,materials,single_dish,13,5
2026-01-15T11:08:00+09:00,life_science,dam_a,6,3
2026-01-15T11:08:00+09:00,life_science,pangeos,16,8
2026-01-15T11:09:00+09:00,hanyang_plaza,western,7,2
2026-01-15T11:09:00+09:00,hanyang_plaza,korean,13,4
2026-01-15T11:09:00+09:00,hanyang_plaza,instant,10,6
2026-01-15T11:09:00+09:00,hanyang_plaza,ramen,7,6
2026-01-15T11:09:00+09:00,materials,set_meal,8,3
2026-01-15T11:09:00+09:00,materials,single_dish,14,5
2026-01-15T11:09:00+09:00,life_science,dam_a,6,3
2026-01-15T11:09:00+09:00,life_science,pangeos,19,10
2026-01-15T11:10:00+09:00,hanyang_plaza,western,8,2
2026-01-15T11:10:00+09:00,hanyang_plaza,korean,19,6
2026-01-15T11:10:00+09:00,hanyang_plaza,instant,11,6
2026-01-15T11:10:00+09:00,hanyang_plaza,ramen,9,7
2026-01-15T11:10:00+09:00,materials,set_meal,11,4
2026-01-15T11:10:00+09:00,materials,single_dish,17,7
2026-01-15T11:10:00+09:00,life_science,dam_a,10,4
2026-01-15T11:10:00+09:00,life_science,pangeos,14,7
2026-01-15T11:11:00+09:00,hanyang_plaza,western,23,6
2026-01-15T11:11:00+09:00,hanyang_plaza,korean,24,7
2026-01-15T11:11:00+09:00,hanyang_plaza,instant,13,7
2026-01-15T11:11:00+09:00,hanyang_plaza,ramen,7,6
2026-01-15T11:11:00+09:00,materials,set_meal,16,5
2026-01-15T11:11:00+09:00,materials,single_dish,12,5
2026-01-15T11:11:00+09:00,life_science,dam_a,8,3
2026-01-15T11:11:00+09:00,life_science,pangeos,14,7
2026-01-15T11:12:00+09:00,hanyang_plaza,western,19,5
2026-01-15T11:12:00+09:00,hanyang_plaza,korean,25,7
2026-01-15T11:12:00+09:00,hanyang_plaza,instant,11,6
2026-01-15T11:12:00+09:00,hanyang_plaza,ramen,18,12
2026-01-15T11:12:00+09:00,materials,set_meal,17,6
2026-01-15T11:12:00+09:00,materials,single_dish,16,6
2026-01-15T11:12:00+09:00,life_science,dam_a,10,4
2026-01-15T11:12:00+09:00,life_science,pangeos,16,8
2026-01-15T11:13:00+09:00,hanyang_plaza,western,13,4
2026-01-15T11:13:00+09:00,hanyang_plaza,korean,27,8
2026-01-15T11:13:00+09:00,hanyang_plaza,instant,7,4
2026-01-15T11:13:00+09:00,hanyang_plaza,ramen,14,10
2026-01-15T11:13:00+09:00,materials,set_meal,25,8
2026-01-15T11:13:00+09:00,materials,single_dish,13,5
2026-01-15T11:13:00+09:00,life_science,dam_a,19,7
2026-01-15T11:13:00+09:00,life_science,pangeos,16,8
2026-01-15T11:14:00+09:00,hanyang_plaza,western,17,5
2026-01-15T11:14:00+09:00,hanyang_plaza,korean,19,6
2026-01-15T11:14:00+09:00,hanyang_plaza,instant,21,10
2026-01-15T11:14:00+09:00,hanyang_plaza,ramen,11,8
2026-01-15T11:14:00+09:00,materials,set_meal,10,4
2026-01-15T11:14:00+09:00,materials,single_dish,9,4
2026-01-15T11:14:00+09:00,life_science,dam_a,18,7
2026-01-15T11:14:00+09:00,life_science,pangeos,15,8
2026-01-15T11:15:00+09:00,hanyang_plaza,western,17,5
2026-01-15T11:15:00+09:00,hanyang_plaza,korean,19,6
2026-01-15T11:15:00+09:00,hanyang_plaza,instant,11,6
2026-01-15T11:15:00+09:00,hanyang_plaza,ramen,9,7
2026-01-15T11:15:00+09:00,materials,set_meal,15,5
2026-01-15T11:15:00+09:00,materials,single_dish,21,8
2026-01-15T11:15:00+09:00,life_science,dam_a,8,3
2026-01-15T11:15:00+09:00,life_science,pangeos,3,3
2026-01-15T11:16:00+09:00,hanyang_plaza,western,17,5
2026-01-15T11:16:00+09:00,hanyang_plaza,korean,26,8
2026-01-15T11:16:00+09:00,hanyang_plaza,instant,9,5
2026-01-15T11:16:00+09:00,hanyang_plaza,ramen,10,8
2026-01-15T11:16:00+09:00,materials,set_meal,14,5
2026-01-15T11:16:00+09:00,materials,single_dish,12,5
2026-01-15T11:16:00+09:00,life_science,dam_a,22,8
2026-01-15T11:16:00+09:00,life_science,pangeos,3,3
2026-01-15T11:17:00+09:00,hanyang_plaza,western,15,4
2026-01-15T11:17:00+09:00,hanyang_plaza,korean,9,3
2026-01-15T11:17:00+09:00,hanyang_plaza,instant,13,7
2026-01-15T11:17:00+09:00,hanyang_plaza,ramen,15,11
2026-01-15T11:17:00+09:00,materials,set_meal,13,5
2026-01-15T11:17:00+09:00,materials,single_dish,17,7
2026-01-15T11:17:00+09:00,life_science,dam_a,10,4
2026-01-15T11:17:00+09:00,life_science,pangeos,6,4
2026-01-15T11:18:00+09:00,hanyang_plaza,western,18,5
2026-01-15T11:18:00+09:00,hanyang_plaza,korean,17,5
2026-01-15T11:18:00+09:00,hanyang_plaza,instant,20,10
2026-01-15T11:18:00+09:00,hanyang_plaza,ramen,8,6
2026-01-15T11:18:00+09:00,materials,set_meal,17,6
