timestamp,restaurantId,cornerId,queue_len,data_type
2026-01-14T11:00:00+09:00,hanyang_plaza,western,9,observed
2026-01-14T11:00:00+09:00,hanyang_plaza,korean,9,observed
2026-01-14T11:00:00+09:00,hanyang_plaza,instant,15,observed
2026-01-14T11:00:00+09:00,hanyang_plaza,ramen,10,observed
2026-01-14T11:00:00+09:00,materials,set_meal,12,observed
2026-01-14T11:00:00+09:00,materials,single_dish,9,observed
2026-01-14T11:00:00+09:00,life_science,dam_a,6,observed
2026-01-14T11:00:00+09:00,life_science,pangeos,11,observed
2026-01-14T11:01:00+09:00,hanyang_plaza,western,6,observed
2026-01-14T11:01:00+09:00,hanyang_plaza,korean,9,observed
2026-01-14T11:01:00+09:00,hanyang_plaza,instant,18,observed
2026-01-14T11:01:00+09:00,hanyang_plaza,ramen,7,observed
2026-01-14T11:01:00+09:00,materials,set_meal,9,observed
2026-01-14T11:01:00+09:00,materials,single_dish,8,observed
2026-01-14T11:01:00+09:00,life_science,dam_a,4,observed
2026-01-14T11:01:00+09:00,life_science,pangeos,12,observed
2026-01-14T11:02:00+09:00,hanyang_plaza,western,5,observed
2026-01-14T11:02:00+09:00,hanyang_plaza,korean,12,observed
2026-01-14T11:02:00+09:00,hanyang_plaza,instant,15,observed
2026-01-14T11:02:00+09:00,hanyang_plaza,ramen,10,observed
2026-01-14T11:02:00+09:00,materials,set_meal,6,observed
2026-01-14T11:02:00+09:00,materials,single_dish,11,observed
2026-01-14T11:02:00+09:00,life_science,dam_a,5,observed
2026-01-14T11:02:00+09:00,life_science,pangeos,14,observed
2026-01-14T11:03:00+09:00,hanyang_plaza,western,8,observed
2026-01-14T11:03:00+09:00,hanyang_plaza,korean,15,observed
2026-01-14T11:03:00+09:00,hanyang_plaza,instant,12,observed
2026-01-14T11:03:00+09:00,hanyang_plaza,ramen,13,observed
2026-01-14T11:03:00+09:00,materials,set_meal,7,observed
2026-01-14T11:03:00+09:00,materials,single_dish,10,observed
2026-01-14T11:03:00+09:00,life_science,dam_a,8,observed
2026-01-14T11:03:00+09:00,life_science,pangeos,11,observed
2026-01-14T11:04:00+09:00,hanyang_plaza,western,11,observed
2026-01-14T11:04:00+09:00,hanyang_plaza,korean,18,observed
2026-01-14T11:04:00+09:00,hanyang_plaza,instant,10,observed
2026-01-14T11:04:00+09:00,hanyang_plaza,ramen,10,observed
2026-01-14T11:04:00+09:00,materials,set_meal,7,observed
2026-01-14T11:04:00+09:00,materials,single_dish,9,observed
2026-01-14T11:04:00+09:00,life_science,dam_a,10,observed
2026-01-14T11:04:00+09:00,life_science,pangeos,14,observed
2026-01-14T11:05:00+09:00,hanyang_plaza,western,14,observed
2026-01-14T11:05:00+09:00,hanyang_plaza,korean,17,observed
2026-01-14T11:05:00+09:00,hanyang_plaza,instant,13,observed
2026-01-14T11:05:00+09:00,hanyang_plaza,ramen,12,observed
2026-01-14T11:05:00+09:00,materials,set_meal,6,observed
2026-01-14T11:05:00+09:00,materials,single_dish,10,observed
2026-01-14T11:05:00+09:00,life_science,dam_a,7,observed
2026-01-14T11:05:00+09:00,life_science,pangeos,17,observed
2026-01-14T11:06:00+09:00,hanyang_plaza,western,17,observed
2026-01-14T11:06:00+09:00,hanyang_plaza,korean,14,observed
2026-01-14T11:06:00+09:00,hanyang_plaza,instant,15,observed
2026-01-14T11:06:00+09:00,hanyang_plaza,ramen,9,observed
2026-01-14T11:06:00+09:00,materials,set_meal,9,observed
2026-01-14T11:06:00+09:00,materials,single_dish,13,observed
2026-01-14T11:06:00+09:00,life_science,dam_a,10,observed
2026-01-14T11:06:00+09:00,life_science,pangeos,17,observed
2026-01-14T11:07:00+09:00,hanyang_plaza,western,14,observed
2026-01-14T11:07:00+09:00,hanyang_plaza,korean,12,observed
2026-01-14T11:07:00+09:00,hanyang_plaza,instant,13,observed
2026-01-14T11:07:00+09:00,hanyang_plaza,ramen,7,observed
2026-01-14T11:07:00+09:00,materials,set_meal,6,observed
2026-01-14T11:07:00+09:00,materials,single_dish,10,observed
2026-01-14T11:07:00+09:00,life_science,dam_a,13,observed
2026-01-14T11:07:00+09:00,life_science,pangeos,16,observed
2026-01-14T11:08:00+09:00,hanyang_plaza,western,13,observed
2026-01-14T11:08:00+09:00,hanyang_plaza,korean,15,observed
2026-01-14T11:08:00+09:00,hanyang_plaza,instant,12,observed
2026-01-14T11:08:00+09:00,hanyang_plaza,ramen,10,observed
2026-01-14T11:08:00+09:00,materials,set_meal,7,observed
2026-01-14T11:08:00+09:00,materials,single_dish,9,observed
2026-01-14T11:08:00+09:00,life_science,dam_a,16,observed
2026-01-14T11:08:00+09:00,life_science,pangeos,19,observed
2026-01-14T11:09:00+09:00,hanyang_plaza,western,16,observed
2026-01-14T11:09:00+09:00,hanyang_plaza,korean,18,observed
2026-01-14T11:09:00+09:00,hanyang_plaza,instant,15,observed
2026-01-14T11:09:00+09:00,hanyang_plaza,ramen,13,observed
2026-01-14T11:09:00+09:00,materials,set_meal,8,observed
2026-01-14T11:09:00+09:00,materials,single_dish,10,observed
2026-01-14T11:09:00+09:00,life_science,dam_a,13,observed
2026-01-14T11:09:00+09:00,life_science,pangeos,16,observed
2026-01-14T11:10:00+09:00,hanyang_plaza,western,19,observed
2026-01-14T11:10:00+09:00,hanyang_plaza,korean,19,observed
2026-01-14T11:10:00+09:00,hanyang_plaza,instant,17,observed
2026-01-14T11:10:00+09:00,hanyang_plaza,ramen,14,observed
2026-01-14T11:10:00+09:00,materials,set_meal,11,observed
2026-01-14T11:10:00+09:00,materials,single_dish,11,observed
2026-01-14T11:10:00+09:00,life_science,dam_a,16,observed
2026-01-14T11:10:00+09:00,life_science,pangeos,19,observed
2026-01-14T11:11:00+09:00,hanyang_plaza,western,16,observed
2026-01-14T11:11:00+09:00,hanyang_plaza,korean,21,observed
2026-01-14T11:11:00+09:00,hanyang_plaza,instant,14,observed
2026-01-14T11:11:00+09:00,hanyang_plaza,ramen,17,observed
2026-01-14T11:11:00+09:00,materials,set_meal,8,observed
2026-01-14T11:11:00+09:00,materials,single_dish,14,observed
2026-01-14T11:11:00+09:00,life_science,dam_a,17,observed
2026-01-14T11:11:00+09:00,life_science,pangeos,20,observed
2026-01-14T11:12:00+09:00,hanyang_plaza,western,19,observed
2026-01-14T11:12:00+09:00,hanyang_plaza,korean,18,observed
2026-01-14T11:12:00+09:00,hanyang_plaza,instant,17,observed
2026-01-14T11:12:00+09:00,hanyang_plaza,ramen,16,observed
2026-01-14T11:12:00+09:00,materials,set_meal,5,observed
2026-01-14T11:12:00+09:00,materials,single_dish,17,observed
2026-01-14T11:12:00+09:00,life_science,dam_a,14,observed
2026-01-14T11:12:00+09:00,life_science,pangeos,17,observed
2026-01-14T11:13:00+09:00,hanyang_plaza,western,22,observed
2026-01-14T11:13:00+09:00,hanyang_plaza,korean,21,observed
2026-01-14T11:13:00+09:00,hanyang_plaza,instant,14,observed
2026-01-14T11:13:00+09:00,hanyang_plaza,ramen,13,observed
2026-01-14T11:13:00+09:00,materials,set_meal,8,observed
2026-01-14T11:13:00+09:00,materials,single_dish,14,observed
2026-01-14T11:13:00+09:00,life_science,dam_a,17,observed
2026-01-14T11:13:00+09:00,life_science,pangeos,19,observed
2026-01-14T11:14:00+09:00,hanyang_plaza,western,25,observed
2026-01-14T11:14:00+09:00,hanyang_plaza,korean,23,observed
2026-01-14T11:14:00+09:00,hanyang_plaza,instant,17,observed
2026-01-14T11:14:00+09:00,hanyang_plaza,ramen,11,observed
2026-01-14T11:14:00+09:00,materials,set_meal,10,observed
2026-01-14T11:14:00+09:00,materials,single_dish,16,observed
2026-01-14T11:14:00+09:00,life_science,dam_a,20,observed
2026-01-14T11:14:00+09:00,life_science,pangeos,22,observed
2026-01-14T11:15:00+09:00,hanyang_plaza,western,22,observed
2026-01-14T11:15:00+09:00,hanyang_plaza,korean,26,observed
2026-01-14T11:15:00+09:00,hanyang_plaza,instant,14,observed
2026-01-14T11:15:00+09:00,hanyang_plaza,ramen,8,observed
2026-01-14T11:15:00+09:00,materials,set_meal,9,observed
2026-01-14T11:15:00+09:00,materials,single_dish,19,observed
2026-01-14T11:15:00+09:00,life_science,dam_a,22,observed
2026-01-14T11:15:00+09:00,life_science,pangeos,25,observed
2026-01-14T11:16:00+09:00,hanyang_plaza,western,25,observed
2026-01-14T11:16:00+09:00,hanyang_plaza,korean,26,observed
2026-01-14T11:16:00+09:00,hanyang_plaza,instant,17,observed
2026-01-14T11:16:00+09:00,hanyang_plaza,ramen,8,observed
2026-01-14T11:16:00+09:00,materials,set_meal,10,observed
2026-01-14T11:16:00+09:00,materials,single_dish,16,observed
2026-01-14T11:16:00+09:00,life_science,dam_a,19,observed
2026-01-14T11:16:00+09:00,life_science,pangeos,23,observed
2026-01-14T11:17:00+09:00,hanyang_plaza,western,22,observed
2026-01-14T11:17:00+09:00,hanyang_plaza,korean,23,observed
2026-01-14T11:17:00+09:00,hanyang_plaza,instant,14,observed
2026-01-14T11:17:00+09:00,hanyang_plaza,ramen,11,observed
2026-01-14T11:17:00+09:00,materials,set_meal,7,observed
2026-01-14T11:17:00+09:00,materials,single_dish,13,observed
2026-01-14T11:17:00+09:00,life_science,dam_a,16,observed
2026-01-14T11:17:00+09:00,life_science,pangeos,26,observed
2026-01-14T11:18:00+09:00,hanyang_plaza,western,25,observed
2026-01-14T11:18:00+09:00,hanyang_plaza,korean,20,observed
2026-01-14T11:18:00+09:00,hanyang_plaza,instant,17,observed
2026-01-14T11:18:00+09:00,hanyang_plaza,ramen,14,observed
2026-01-14T11:18:00+09:00,materials,set_meal,10,observed
2026-01-14T11:18:00+09:00,materials,single_dish,11,observed
2026-01-14T11:18:00+09:00,life_science,dam_a,16,observed
2026-01-14T11:18:00+09:00,life_science,pangeos,26,observed
2026-01-14T11:19:00+09:00,hanyang_plaza,western,22,observed
2026-01-14T11:19:00+09:00,hanyang_plaza,korean,17,observed
2026-01-14T11:19:00+09:00,hanyang_plaza,instant,20,observed
2026-01-14T11:19:00+09:00,hanyang_plaza,ramen,11,observed
2026-01-14T11:19:00+09:00,materials,set_meal,12,observed
2026-01-14T11:19:00+09:00,materials,single_dish,14,observed
2026-01-14T11:19:00+09:00,life_science,dam_a,13,observed
2026-01-14T11:19:00+09:00,life_science,pangeos,29,observed
2026-01-14T11:20:00+09:00,hanyang_plaza,western,23,observed
2026-01-14T11:20:00+09:00,hanyang_plaza,korean,14,observed
2026-01-14T11:20:00+09:00,hanyang_plaza,instant,23,observed
2026-01-14T11:20:00+09:00,hanyang_plaza,ramen,13,observed
2026-01-14T11:20:00+09:00,materials,set_meal,9,observed
2026-01-14T11:20:00+09:00,materials,single_dish,17,observed
2026-01-14T11:20:00+09:00,life_science,dam_a,16,observed
2026-01-14T11:20:00+09:00,life_science,pangeos,28,observed
2026-01-14T11:21:00+09:00,hanyang_plaza,western,21,observed
2026-01-14T11:21:00+09:00,hanyang_plaza,korean,17,observed
2026-01-14T11:21:00+09:00,hanyang_plaza,instant,24,observed
2026-01-14T11:21:00+09:00,hanyang_plaza,ramen,14,observed
2026-01-14T11:21:00+09:00,materials,set_meal,10,observed
2026-01-14T11:21:00+09:00,materials,single_dish,16,observed
2026-01-14T11:21:00+09:00,life_science,dam_a,13,observed
2026-01-14T11:21:00+09:00,life_science,pangeos,25,observed
2026-01-14T11:22:00+09:00,hanyang_plaza,western,18,observed
2026-01-14T11:22:00+09:00,hanyang_plaza,korean,17,observed
2026-01-14T11:22:00+09:00,hanyang_plaza,instant,25,observed
2026-01-14T11:22:00+09:00,hanyang_plaza,ramen,17,observed
2026-01-14T11:22:00+09:00,materials,set_meal,13,observed
2026-01-14T11:22:00+09:00,materials,single_dish,19,observed
2026-01-14T11:22:00+09:00,life_science,dam_a,12,observed
2026-01-14T11:22:00+09:00,life_science,pangeos,22,observed
2026-01-14T11:23:00+09:00,hanyang_plaza,western,18,observed
2026-01-14T11:23:00+09:00,hanyang_plaza,korean,16,observed
2026-01-14T11:23:00+09:00,hanyang_plaza,instant,28,observed
2026-01-14T11:23:00+09:00,hanyang_plaza,ramen,15,observed
2026-01-14T11:23:00+09:00,materials,set_meal,13,observed
2026-01-14T11:23:00+09:00,materials,single_dish,19,observed
2026-01-14T11:23:00+09:00,life_science,dam_a,15,observed
2026-01-14T11:23:00+09:00,life_science,pangeos,19,observed
2026-01-14T11:24:00+09:00,hanyang_plaza,western,17,observed
2026-01-14T11:24:00+09:00,hanyang_plaza,korean,19,observed
2026-01-14T11:24:00+09:00,hanyang_plaza,instant,29,observed
2026-01-14T11:24:00+09:00,hanyang_plaza,ramen,16,observed
2026-01-14T11:24:00+09:00,materials,set_meal,14,observed
2026-01-14T11:24:00+09:00,materials,single_dish,22,observed
2026-01-14T11:24:00+09:00,life_science,dam_a,18,observed
2026-01-14T11:24:00+09:00,life_science,pangeos,16,observed
2026-01-14T11:25:00+09:00,hanyang_plaza,western,19,observed
2026-01-14T11:25:00+09:00,hanyang_plaza,korean,17,observed
2026-01-14T11:25:00+09:00,hanyang_plaza,instant,32,observed
2026-01-14T11:25:00+09:00,hanyang_plaza,ramen,19,observed
2026-01-14T11:25:00+09:00,materials,set_meal,17,observed
2026-01-14T11:25:00+09:00,materials,single_dish,19,observed
2026-01-14T11:25:00+09:00,life_science,dam_a,21,observed
2026-01-14T11:25:00+09:00,life_science,pangeos,13,observed
2026-01-14T11:26:00+09:00,hanyang_plaza,western,17,observed
2026-01-14T11:26:00+09:00,hanyang_plaza,korean,20,observed
2026-01-14T11:26:00+09:00,hanyang_plaza,instant,35,observed
2026-01-14T11:26:00+09:00,hanyang_plaza,ramen,22,observed
2026-01-14T11:26:00+09:00,materials,set_meal,19,observed
2026-01-14T11:26:00+09:00,materials,single_dish,22,observed
2026-01-14T11:26:00+09:00,life_science,dam_a,18,observed
2026-01-14T11:26:00+09:00,life_science,pangeos,10,observed
2026-01-14T11:27:00+09:00,hanyang_plaza,western,14,observed
2026-01-14T11:27:00+09:00,hanyang_plaza,korean,23,observed
2026-01-14T11:27:00+09:00,hanyang_plaza,instant,35,observed
2026-01-14T11:27:00+09:00,hanyang_plaza,ramen,19,observed
2026-01-14T11:27:00+09:00,materials,set_meal,16,observed
2026-01-14T11:27:00+09:00,materials,single_dish,21,observed
2026-01-14T11:27:00+09:00,life_science,dam_a,18,observed
2026-01-14T11:27:00+09:00,life_science,pangeos,13,observed
2026-01-14T11:28:00+09:00,hanyang_plaza,western,17,observed
2026-01-14T11:28:00+09:00,hanyang_plaza,korean,20,observed
